,word,content
0,믹스견 [Mix] - 장점만 취해서 튼튼하고 키우기 쉬운 하프견. 얼굴도 모양도 개성적,"[특징] 한쪽의 특성이 강하게 나타나는 경우와 양쪽의 특성이 반씩 나타나는 경우가 있다. '잡종강세'여서 부모가 가진 마이너스적인 면은 사라지고 몸이 튼튼해지는 경향이 있다. [성격] 두 견종의 성격이 믹스되기 때문에 부모의 성격을 반씩 물려받는다. 나타나는 특징 자체는 순종보다 약한 경향이 있다. [케어 방법] 부모와 같은 견종의 케어 또는 크기, 골격, 피모의 길이나 질 등 특징이 비슷한 견종을 찾아서 케어한다. 스킨십도 잊어서는 안 된다. [걸리기 쉬운 질병] • 부모 중 특징을 강하게 물려받은 것으로 보이는 견종이 잘 걸리는 질병에 특히 주의한다. 만약을 위해 다른 쪽 부모가 주의해야 할 질병도 확인해두자."
1,호흡을 괴로워한다,"운동이나 흥분을 해도 호흡은 흐트러지지만 호흡이 이상할 때에는 질병을 의심할 수 있다. 간혹 중대한 질병도 있다. [증례 차트 - 호흡을 괴로워한다] 증상 유추할 수 있는 질병 대처 • 호흡이상뿐만 아니라 쇼크 상태를 일으킨다. • 호흡이상뿐만 아니라 입술이나 혀가 보라색이나 하얗게 질려 있다. • 호흡이상뿐만 아니라 전율, 침, 구토 등의 증상을 동반한다. 긴급히 병원으로 • 호흡이 이상하게 빠르다. • 콧구멍이 실룩거린다. • 열사병 • 기흉 • 기관지염 • 종양 • 폐렴 • 폐수종 빨리 병원으로 입을 벌리고 뻐끔거린다. • 식도 내 이물 • 폐수종 • 기관지염 • 주저앉는다, 턱을 들고 숨쉰다. • 눕지 못한다. • 횡격막 헤르니아 • 폐수종 • 기흉 • 심근증 거위 울음처럼 뻐억뻐억 소리가 들린다. • 기관허탈 • 연구개 과장증 쌕쌕 소리가 난다. • 기관지염 • 폐렴"
2,중성화 수술 방법 - 일찌감치 해주면 스트레스를 받지 않는 아이로,"중성화 수술에 대한 의견은 다양하지만 수술에 따른 장점과 단점을 충분히 검토하고 주인도 반려견도 행복해질 수 있는 결론을 내리자. [중성화 수술의 장점과 단점] 구분 수컷 암컷 장점 • 성적 욕구가 없기 때문에 스트레스가 없다. • 성격이 온순해지고 훈련하기가 쉽다. • 전립선 질병, 정소나 항문 주변의 종양 등의 질병에 걸릴 확률이 줄어든다. • 마킹을 거의 하지 않게 된다. • 원하지 않는 임신을 피할 수 있다. • 자궁 관련 질병이나 유방암에 걸릴 확률이 줄어든다(자궁을 적출하면 자궁축농증에 걸리지 않는다). 단점 • 뒤늦게 번식시키고 싶어도 불가능하다. • 쉽게 비만이 되는 경향이 있다. • 행동이 다소 둔해진다. • 극히 드물게 호르몬 결핍증인 피부병에 걸리기도 한다(효과적인 치료법이 있으므로 문제없다). [행복을 고려하여 결론 내리자] 수술을 해서까지 피임을 시킬 필요성에 대해 반대 의견을 가진 사람도 있"
3,몰티즈 [Maltese] - '개들의 귀족'이라고 불리며 옛날부터 순수 애완견으로 사랑받았던 개,"[특징] 작업견이나 사냥개로 이용되던 역사가 없는 타고난 반려견. 순백에 실크 같은 광택이 있는 피모를 가졌으며 밑털이 없다. 새까맣고 동그란 눈도 특징이다. [성격] 지적이고 우아, 활발하고 밝고 쾌활한 반려견. 작은 몸에 어울리지 않게 용감하다. 사람의 마음을 민감하게 감지하고 어리광이 능숙한 면도 있다. [케어 방법] 목욕은 다른 견종보다 자주한다. 빗질은 매일 꼼꼼하게 한다. 눈, 입 주위는 항상 청결하게. 통기성이 좋지 않은 귀를 체크하는 것도 중요하다. [걸리기 쉬운 질병] • 유루증 • 슬개골 탈구 • 혈소판 감소증 • 승모판 폐쇄부전 • 동맥관 개존증 등"
4,켄넬코프,"개의 전염성 기관지염으로 소위 '개가 걸리는 감기'이며 기침이 특징이다. 켄넬코프란 '견사에서 유행하는 기침'이라는 뜻으로 개가 많이 모인 곳에서 발생한다. [증상] 마르고 심한 기침이 나온다. 기운이 없어지지도 않고 식욕도 정상일 때와 크게 다르지 않지만 증상이 진행되면 콧물이 나오거나 가래가 껴서 토하거나 미열이 나기도 한다. 통상 며칠 내로 가라앉지만 저항력이 약한 새끼나 노견은 악화되면 식욕이 없어지고 폐렴이 되거나 쇠약사하는 경우도 있으므로 가볍게 생각해서는 안 된다. [원인] 파라인플루엔자바이러스, 아데노바이러스 2형 등의 바이러스나 세균에 감염되어 발병한다. 병든 개와의 접촉이나 재채기나 기침을 통해서 감염된다. [치료와 간호] 바이러스에 효과적인 약이 없기 때문에 기침을 가라앉히기 위한 치료를 중심으로 항생물질 등을 투여한다. 가정에서는 보온이나 환기에 주의를 기울이고, 폐렴으로 전이되지 않도록 주의하고 컨디션이 좋지 않을 때에는 개가 모여..."
5,출산의 흐름과 간호 방법,"1. 손을 씻은 후 신생아를 감싸는 양막을 손가락으로 터뜨려 새끼를 꺼낸다. 2. 새끼의 배에서 2cm 정도 되는 곳의 탯줄을 실로 묶고 그 끝을 가위로 잘라낸다. 3. 새끼가 호흡을 하는지 확인하고, 확인이 되면 대야에 38℃ 정도의 따뜻한 물을 받아 몸의 지저분한 것을 닦아낸다. 4. 몸의 물기를 수건으로 닦고 어미젖을 먹게 한다. 초유에는 다양한 질병에 대한 면역항체가 들어 있기 때문에 모유를 먹지 못한 아이가 없는지 반드시 체크한다. [임신의 징후와 출산 준비] 개의 임신기간은 60일 전후로 이 기간을 전기·중기·후기로 나누어 관리하는 것이 일반적이다(임신 중 몸의 변화나 주의사항 참조). 임신 징후는 교배 후 1개월이 지날 무렵부터 나타난다. 교배 후 3주째에 식욕감퇴나 구토 등의 입덧 증상이 나타나는 경우도 있지만 반드시 나타나는 것도 아니고 기간도 짧기 때문에 눈치채지 못하는 경우도 많다. 임신 후기에는 배가 부풀어 오르는 것이 두드러지고 유선이 팽팽해지거나"
6,토이 푸들 [Toy Poodle] - 봉제인형처럼 귀여운 외모와 영리함 때문에 인기,"[특징] 이 밖에도 미니어처, 미디엄, 스탠더드가 있다. 피모는 웨이브가 진 부드러운 감촉이며 컬러도 다양하다. 늘어진 귀와 짧은 꼬리가 특징. 몸은 늘씬하지만 근육질이다. [성격] 원래는 트뤼프(프랑스 특산 송로버섯) 채취에 쓰이던 엽견이다. 두뇌와 기억력이 좋아서 훈련시키기 쉽다. 털빠짐이나 냄새, 헛울음이 적어서 반려견으로 인기가 높다. [케어 방법] 피모가 엉키지 않도록 매일 빗질을 해준다. 눈물 때문에 눈 주변의 털이 변색되는 눈물독이 생기지 않도록 케어하고 귀도 빼먹지 말고 체크한다. 충분한 운동이 필요하다. [걸리기 쉬운 질병] • 혈소판 감소증 • 출혈성 위장염 • 유루증 • 외이염 • 레그 페르테스병"
7,항문낭염,"항문낭은 항문의 양쪽, 시계 문자판으로 표현하면 4시와 8시 위치에 있는 2개의 작은 주머니로, 족제비나 스컹크 등은 위험을 느끼면 이 항문낭(취낭)에서 이상한 냄새가 나는 액체를 분비해서 적을 격퇴한다. 개나 고양이는 변에 고유의 냄새를 묻히는 마킹을 하는데, 현재는 알람 마킹(공포 시 경보)이나 개들 사이에서 '냄새 커뮤니케이션'에 도움이 되는 것으로 보고 있다. 항문낭염은 이 주머니가 세균에 감염되어 분비액이 잘 배출되지 않고 쌓여서 곪는 질병으로, 개에게는 자주 발생한다. [증상] 항문부위를 바닥에 끌거나 핥는다. 심하면 염증 때문에 항문낭이 붓고, 배변 시 통증 때문에 비명을 지르기도 한다. [원인] 세균감염에 의해 항문낭이 염증을 일으킨다. 파열되어 분비물과 함께 고름이나 피가 나오는 경우도 있다. [치료와 예방] 항문낭에서 쌓여 있는 분비물을 손으로 짜낸다. 곪은 경우에는 항생물질을 투여한다. 분비물을 축적하는 속도(일수)는 개체 차이가 있다. 분비물이 잘 쌓"
8,토한다,"사람에 비해 개는 토하는 일이 잦고 건강에 문제가 없는 경우도 있지만, 토한 내용물이나 상태를 잘 보고 판단해야 한다. [증례 차트 - 토한다] 증상 유추할 수 있는 질병 대처 반복적으로 토한다. 암컷의 배가 부어 있고, 음부에서 고름이 나오는 등의 증상을 동반한다. • 자궁축농증 긴급히 병원으로 • 설사나 혈변을 동반한다. • 하루에 몇 차례씩 토한다. • 파보바이러스 감염증 • 렙토스피라 감염증 • 급성 위염 • 만성 위염 • 췌염 • 출혈성 위장염 • 장폐색 • 급성 간염 • 급성 신부전 • 요독증 • 중독 식후에 토한다. • 토한 내용물이 노랗다. • 토한 내용물에 피가 섞여 있다. 식사 직후에 심하게 자주 토한다. • 거대 식도증 • 식도 내 이물 빨리 병원으로 토하려는 기색이 있고, 입을 핥거나 침을 흘린다. • 식도나 위의 운동저하, 십이지장의 운동항진(아래의 해설 참조) • 급"
9,"웰시 코기 펨브룩 [Welsh Corgi Pembroke] - 다부진 몸에 언밸런스한 짧은 다리, 뒷모습도 귀여운 동장견","[특징] 웰시 코기에는 꼬리털이 긴 가디건과 꼬리털이 짧은 펨브룩이 있는데, 모습은 비슷하지만 다른 견종으로 분류된다. 동장단족, 튼튼한 골격이 특징. [성격] 원래 목축견으로 주인의 일을 도왔기 때문에 복종적이면서도 사교적이다. 소나 양을 무리로 돌아가게 하는 역할이었기 때문인지 용감하면서도 영역 의식이 강하다. 훈련시키기는 쉽다. [케어 방법] 무는 버릇이 있으므로 일찌감치 훈련을 시키도록 한다. 털갈이 시기에 털이 수북이 빠지므로 빗질로 꼼꼼하게 제거한다. 허리에 부담을 적게 주도록 신경 쓴다. [걸리기 쉬운 질병] • 추간판 헤르니아 • 백내장 • 슬개골 탈구 • 요로결석증 등"
